cadastralNumber,address,dateEvent,datePublic,meetsDesignation,objectType,result,notAllowed
77:01:0004018:7741,"г. Москва, муниципальный округ Тверской вн.тер. г., ул 2-я Брестская, д 48",27.01.2022,01.02.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:01:0001035:1044,"г. Москва, р-н Басманный, проезд Лубянский, д 3/6, строен 4",31.01.2022,01.02.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:01:0001091:3088,"г. Москва, р-н Мещанский, ул Сретенка, д 9",28.01.2022,01.02.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:01:0003057:5087,"г. Москва, пр-кт Мира, д 79",28.01.2022,01.02.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:01:0003035:2361,"г. Москва, Красносельский, ул Краснопрудная, д 13",28.01.2022,01.02.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:01:0001087:1551,"г. Москва, р-н Красносельский, ул Сретенка, д 26/1, пом VIII",28.01.2022,01.02.2022,❌,нежилое помещение,"Объект (нежилое помещение) фактически не используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:01:0006023:5994,"г. Москва, р-н Таганский, ул Марксистская, д 9, этаж 1, помещение II - комнаты 11а, 29а, 44а; помещение III - комнаты 2а, 2б; помещение 2 - комнаты 1, 1а, с 2 по 4, с 7 по 11, 11б, 11в, 11г, 12, 12а, 12б, 12в, 13, 13а, 15, 16, с 20 по 38, 38а, 38б, 38в, с 39 по 46, 46а, с 47 по 56; помещение 3 - комнат",27.01.2022,01.02.2022,❌,нежилое помещение,"Объект (нежилое помещение) фактически не используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:01:0003050:3594,"г. Москва, пер Протопоповский, д 17, строение 3, пом IV, этаж 1, помещение IV - комнаты с 1 по 5",26.01.2022,01.02.2022,❌,нежилое помещение,"Объект (нежилое помещение) фактически не используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:01:0001039:1836,"г. Москва, ул Кузнецкий Мост, д 19, строение 1, пом III, этаж 2, помещение III - комнаты 11а, 11б, 11в; помещение 3 - комнаты с 1 по 23",26.01.2022,01.02.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:01:0004023:6677,"г. Москва, ул Пресненский Вал, д 14, корп 2",28.01.2022,01.02.2022,❌,нежилое помещение,"Объект (нежилое помещение) фактически не используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:01:0003009:1130,"г. Москва, ул Басманная Нов., д 20, строен 11",28.01.2022,01.02.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:01:0003009:1122,"г. Москва, ул Басманная Стар., д 19, строен 6",28.01.2022,01.02.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:01:0003009:1128,"г. Москва, ул Басманная Стар., д 19, строен 2",28.01.2022,01.02.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:01:0003009:3097,"г. Москва, р-н Басманный, ул Александра Лукьянова, д 4, строен 1",28.01.2022,01.02.2022,✅,"здание (строение, сооружение)","Объект (здание (строение, сооружение) фактически используется в целях делового, административного или коммерческого назначения",
77:01:0003009:1053,"г. Москва, Басманный, ул Басманная Стар., д 19, строен 8",28.01.2022,01.02.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:01:0003009:1106,"г. Москва, р-н Басманный, ул Басманная Нов., д 20, строен 5",28.01.2022,01.02.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:01:0003009:1050,"г. Москва, ул Басманная Нов., д 20, строен 16",28.01.2022,01.02.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:01:0001087:1025,"г. Москва, р-н Красносельский, туп Сретенский, д 2",25.01.2022,01.02.2022,✅,"здание (строение, сооружение)","Объект (здание (строение, сооружение) фактически используется в целях делового, административного или коммерческого назначения",
77:01:0003009:1023,"г. Москва, Басманный Басманный, ул Басманная Нов., д 20, строен 8",28.01.2022,01.02.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:01:0003027:1108,"г. Москва, р-н Басманный, ул Почтовая Б., д 40, строен 1",28.01.2022,01.02.2022,✅,"здание (строение, сооружение)","Объект (здание (строение, сооружение) фактически используется одновременно как для целей делового, административного или коммерческого назначения, так и для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:01:0003027:1083,"г. Москва, р-н Басманный, ул Почтовая Б., д 40, строен 2",28.01.2022,01.02.2022,✅,"здание (строение, сооружение)","Объект (здание (строение, сооружение) фактически используется в целях делового, административного или коммерческого назначения",
77:09:0005008:4289,"г. Москва, ул Маршала Шапошникова, д 1",28.01.2022,01.02.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:02:0023001:4631,"г. Москва, пр-кт Мира, д 79, строение 1, антресоль, помещение 5 - комнаты 1, 2, 2А; помещение 6 - комната 1; подвал, помещение 1 - комнаты с 1 по 9, 9А, 10, с 14 по 17; помещение 11 - комнаты с 1 по 3, 3А, с 4 по 9, 9А, с 10 по 18, 18А, с 19 по 29, 29А, с 30 по 46; этаж 1, помещение 20 - комнаты",28.01.2022,01.02.2022,❌,нежилое помещение,"Объект (нежилое помещение) фактически не используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:08:0002008:6964,"г. Москва, ш Пятницкое, д 21",26.01.2022,01.02.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:09:0005010:2371,"г. Москва, ул Магистральная 1-я, д 29А",28.01.2022,01.02.2022,✅,"здание (строение, сооружение)","Объект (здание (строение, сооружение) фактически используется в целях делового, административного или коммерческого назначения",
77:02:0006002:12766,"Северо-Восточный административный округ, район Южное Медведково, Ясный пр., Дом 16",27.01.2022,01.02.2022,❌,нежилое помещение,"Объект (нежилое помещение) фактически не используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",⛔️
77:01:0003050:3598,"г. Москва, пер Протопоповский, д 17, строение 3, пом XIX, этаж 1, помещение XIX - комнаты с 1 по 6",26.01.2022,01.02.2022,❌,нежилое помещение,"Объект (нежилое помещение) фактически не используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:07:0015005:30603,"г. Москва, ш Боровское, д 36",28.01.2022,31.01.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:07:0015004:1169,"г. Москва, проезд Новомещерский, д 9, строен 1",14.01.2022,31.01.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:00:0000000:19516,"г. Москва, ул Истринская, д 8, корп 3",25.01.2022,31.01.2022,❌,нежилое помещение,"Объект (нежилое помещение) фактически не используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:07:0004005:9799,"г. Москва, ул Ярцевская, д 32, пом VI, (подвал 4 - помещение VI)",25.01.2022,31.01.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:07:0004005:9584,"г. Москва, ул Молодогвардейская, д 8, корп 1",25.01.2022,31.01.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:07:0015005:30604,"г. Москва, ш Боровское, д 36",28.01.2022,31.01.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:07:0004005:13247,"г. Москва, ш Рублёвское, д 101, пом 8/1",25.01.2022,31.01.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:07:0004005:9444,"г. Москва, ул Молодогвардейская, д 8, корп 1",25.01.2022,31.01.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:07:0004005:13245,"г. Москва, ш Рублёвское, д 101, пом 6/1",25.01.2022,31.01.2022,❌,нежилое помещение,"Объект (нежилое помещение) фактически не используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:07:0015005:30605,"г. Москва, ш Боровское, д 36",28.01.2022,31.01.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:07:0004002:10023,"г. Москва, ш Рублевское, д 107",21.01.2022,31.01.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:07:0004007:11303,"г. Москва, Кунцево, ул Ивана Франко, д 38, корп 1",25.01.2022,31.01.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:07:0004005:13246,"г. Москва, ш Рублёвское, д 101, пом 7/1",25.01.2022,31.01.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:07:0004005:14132,"г. Москва, ул Ярцевская, д 34, корп 2",24.01.2022,31.01.2022,❌,нежилое помещение,"Объект (нежилое помещение) фактически не используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:07:0004002:11338,"г. Москва, ул Ярцевская, д 33, корп 2",25.01.2022,31.01.2022,❌,нежилое помещение,"Объект (нежилое помещение) фактически не используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:07:0004005:9532,"г. Москва, ул Молодогвардейская, д 8, корп 1",25.01.2022,31.01.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:07:0001001:6052,"г. Москва, ш Рублевское, д 16, корп 1, (этаж 1, помещение XI - комнаты с 6 по 12)",25.01.2022,31.01.2022,❌,нежилое помещение,"Объект (нежилое помещение) фактически не используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:07:0004005:14139,"г. Москва, ул Ярцевская, д 34, корп 2",24.01.2022,31.01.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:07:0004005:14142,"г. Москва, ул Ярцевская, д 34, корп 2",24.01.2022,31.01.2022,❌,нежилое помещение,"Объект (нежилое помещение) фактически не используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:07:0004005:14141,"г. Москва, ул Ярцевская, д 34, корп 2",24.01.2022,31.01.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:07:0004005:14143,"г. Москва, ул Ярцевская, д 34, корп 2",24.01.2022,31.01.2022,❌,нежилое помещение,"Объект (нежилое помещение) фактически не используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:07:0004005:14140,"г. Москва, ул Ярцевская, д 34, корп 2",24.01.2022,31.01.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:07:0004006:1056,"г. Москва, р-н Кунцево, ул Молодогвардейская, д 61, строен 31",21.01.2022,31.01.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:07:0004006:1064,"г. Москва, р-н Кунцево, ул Молодогвардейская, д 61, строен 37",21.01.2022,31.01.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:07:0004006:1038,"г. Москва, р-н Кунцево, ул Молодогвардейская, д 61, строен 12",21.01.2022,31.01.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:07:0015008:1031,"г. Москва, ш Боровское, д 35",28.01.2022,31.01.2022,✅,"здание (строение, сооружение)","Объект (здание (строение, сооружение) фактически используется одновременно как для целей делового, административного или коммерческого назначения, так и для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:07:0015008:9547,"г. Москва, Боровское шоссе, д. 27",28.01.2022,31.01.2022,✅,"здание (строение, сооружение)","Объект (здание (строение, сооружение) фактически используется одновременно как для целей делового, административного или коммерческого назначения, так и для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:07:0004006:1057,"г. Москва, р-н Кунцево, ул Молодогвардейская, д 61, строен 34",21.01.2022,31.01.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:07:0004006:1042,"г. Москва, р-н Кунцево, ул Молодогвардейская, д 61, строен 35",21.01.2022,31.01.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:07:0015008:1066,"г. Москва, ш Боровское, д 43",28.01.2022,31.01.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:07:0004006:1011,"г. Москва, р-н Кунцево, ул Молодогвардейская, д 61",21.01.2022,31.01.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:07:0004006:1034,"г. Москва, р-н Кунцево, ул Молодогвардейская, д 61, строен 32",21.01.2022,31.01.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:14:0041741:2,"г. Москва, ш Рублево-Успенское, д 4",28.01.2022,31.01.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:07:0004002:1095,"г. Москва, ул Оршанская, д 16",27.01.2022,31.01.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:07:0008005:10430,"г. Москва, ш Можайское, д 45Б",26.01.2022,31.01.2022,✅,"здание (строение, сооружение)","Объект (здание (строение, сооружение) фактически используется одновременно как для целей делового, административного или коммерческого назначения, так и для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:07:0004001:5099,"г. Москва, ул Академика Павлова, д 25",28.01.2022,31.01.2022,✅,"здание (строение, сооружение)","Объект (здание (строение, сооружение) фактически используется в целях делового, административного или коммерческого назначения",
77:07:0003002:1497,"г. Москва, дор МКАД, 60-й Километр, д 4А",27.01.2022,31.01.2022,✅,"здание (строение, сооружение)","Объект (здание (строение, сооружение) фактически используется одновременно как для целей делового, административного или коммерческого назначения, так и для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:07:0005011:2632,"г. Москва, ул Молодогвардейская, д 65, строение 3",17.01.2022,31.01.2022,✅,"здание (строение, сооружение)","Объект (здание (строение, сооружение) фактически используется в целях делового, административного или коммерческого назначения",
77:08:0002008:7156,"г. Москва, ш Пятницкое, д 21",26.01.2022,31.01.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:08:0002008:6966,"г. Москва, ш Пятницкое, д 21",26.01.2022,31.01.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:08:0002020:9417,"г. Москва, ул Генерала Белобородова, д 24",20.01.2022,31.01.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:08:0002008:5821,"г. Москва, р-н Митино, ул Митинская, д 15, этаж 1, помещение XIII - комнаты с 86 по 101; этаж 2, помещение I - комнаты с 83 по 95",21.01.2022,31.01.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:02:0006002:12751,"Северо-Восточный административный округ, район Южное Медведково, Ясный проспект, Дом 16",27.01.2022,31.01.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:09:0005012:1079,"г. Москва, р-н Хорошевский, проезд Хорошёвский 2-й, д 9, корп 2",28.01.2022,31.01.2022,✅,"здание (строение, сооружение)","Объект (здание (строение, сооружение) фактически используется в целях делового, административного или коммерческого назначения",
77:09:0005012:1065,"г. Москва, р-н Хорошевский, проезд Хорошёвский 3-й, д 3",28.01.2022,31.01.2022,✅,"здание (строение, сооружение)","Объект (здание (строение, сооружение) фактически используется одновременно как для целей делового, административного или коммерческого назначения, так и для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:02:0021011:1006,"г. Москва, проезд Марьиной Рощи 12-й, д 8, строен 3",28.01.2022,31.01.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:02:0004001:1093,"г. Москва, ул Полярная, д 56",27.01.2022,31.01.2022,✅,"здание (строение, сооружение)","Объект (здание (строение, сооружение) фактически используется одновременно как для целей делового, административного или коммерческого назначения, так и для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:02:0004009:1018,"г. Москва, р-н Северное Медведково, ул Широкая, д 29",27.01.2022,31.01.2022,✅,"здание (строение, сооружение)","Объект (здание (строение, сооружение) фактически используется одновременно как для целей делового, административного или коммерческого назначения, так и для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:02:0004009:1011,"г. Москва, ул Широкая, д 31",27.01.2022,31.01.2022,✅,"здание (строение, сооружение)","Объект (здание (строение, сооружение) фактически используется одновременно как для целей делового, административного или коммерческого назначения, так и для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:02:0006002:12758,"Северо-Восточный административный округ, район Южное Медведково, Ясный пр., Дом 16",27.01.2022,31.01.2022,❌,нежилое помещение,"Объект (нежилое помещение) фактически не используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",⛔️
77:08:0002009:2074,"г. Москва, р-н Митино, ул Митинская, д 10, корп 1, пом I",26.01.2022,31.01.2022,❌,нежилое помещение,"Объект (нежилое помещение) фактически не используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:08:0002009:2075,"г. Москва, р-н Митино, ул Митинская, д 10, корп 1, пом I",26.01.2022,31.01.2022,❌,нежилое помещение,"Объект (нежилое помещение) фактически не используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:08:0002004:8163,"г. Москва, р-н Митино, пер Ангелов, д 6, подвал, помещение 1 - комнаты 3, 13; этаж 1, помещение I - комнаты с 1 по 81",20.01.2022,31.01.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:08:0002009:4881,"г. Москва, Митино, ул Митинская, д 10, (пом. IX ком. 3-9, пом. IXа ком. 1-7)",26.01.2022,31.01.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:02:0006002:12768,"Северо-Восточный административный округ, район Южное Медведково, Ясный пр., Дом 16",27.01.2022,31.01.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:05:0003007:1070,"г. Москва, р-н Нагорный, ш Варшавское, д 38а",24.01.2022,31.01.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
