cadastralNumber,address,dateEvent,datePublic,meetsDesignation,objectType,result,notAllowed
77:09:0001010:4412,"г. Москва, ул Лавочкина, д 19, строение 4",02.02.2022,04.02.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:09:0001010:1024,"г. Москва, р-н Ховрино, ул Лавочкина, д 19, строен 5",02.02.2022,04.02.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:09:0001010:1045,"г. Москва, р-н Ховрино, ул Лавочкина, д 19, строен 7",02.02.2022,04.02.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:08:0002022:3623,"г. Москва, р-н Митино, ул Генерала Белобородова, д 7/2, этаж 1, помещение 7 - комнаты с 1 по 8; этаж 2, помещение 1 - комнаты с 1 по 12",20.01.2022,04.02.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:09:0001007:8684,"г. Москва, ул Смольная, д 44, корп 2",02.02.2022,04.02.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:01:0005010:5121,"г. Москва, ул Ефремова, д 10, корп 1",29.12.2021,04.02.2022,❌,нежилое помещение,"Объект (нежилое помещение) фактически не используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:07:0015005:29668,"г. Москва, Ново-Переделкино, ул Новые Сады 6-я, д 2, (цоколь - помещение I (ком.7-10))",02.02.2022,04.02.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:07:0015004:3352,"г. Москва, ул 7-я Лазенки, д ВЛ. 14, строение 2",02.02.2022,04.02.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:10:0006007:3004,"г. Москва, г Зеленоград, муниципальный округ Крюково вн.тер.г., пр-кт Георгиевский, д. 37, к. 1, помещ. 4/1",20.01.2022,04.02.2022,❌,нежилое помещение,"Объект (нежилое помещение) фактически не используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:10:0006007:3012,"г. Москва, г Зеленоград, муниципальный округ Крюково вн.тер.г., пр-кт Георгиевский, д. 37, к. 1, помещ. 12/1",20.01.2022,04.02.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:10:0002007:1037,"г. Москва, Зеленоград, р-н Старое Крюково, корп 813а, строен 1",11.01.2022,04.02.2022,✅,"здание (строение, сооружение)","Объект (здание (строение, сооружение) фактически используется одновременно как для целей делового, административного или коммерческого назначения, так и для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:10:0002005:7801,"г. Москва, г Зеленоград, аллея Солнечная, корп 934, пом 12Н, (Российская Федерация)",11.01.2022,04.02.2022,❌,нежилое помещение,"Объект (нежилое помещение) фактически не используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",⛔️
77:10:0000000:2547,"г. Москва, г Зеленоград, корп 1824, (подвал, помещение XXII - комнаты 1, 1а, 2; этаж 1, помещение IV - комнаты с 1 по 5, 5а, с 6 по 8)",11.01.2022,04.02.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:10:0000000:3501,"г. Москва, г Зеленоград, корп 834А",11.01.2022,04.02.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:10:0000000:2699,"г. Москва, г Зеленоград, корп 1462, пом I, этаж 1, помещение I - комнаты с 1 по 6",19.01.2022,04.02.2022,❌,нежилое помещение,"Объект (нежилое помещение) фактически не используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",⛔️
77:00:0000000:41844,"г. Москва, г Зеленоград, пр-кт Панфиловский, д 6А",20.01.2022,04.02.2022,✅,"здание (строение, сооружение)","Объект (здание (строение, сооружение) фактически используется одновременно как для целей делового, административного или коммерческого назначения, так и для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:01:0001069:1027,"г. Москва, р-н Пресненский, пер Вознесенский, д 7",01.02.2022,04.02.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:01:0002028:1028,"г. Москва, р-н Таганский, ул Николоямская, д 11, строен 2",28.01.2022,04.02.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:01:0004028:3949,"г. Москва, ул Новый Арбат, д 32",01.02.2022,04.02.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:06:0006001:11363,"г. Москва, р-н Коньково, ул Миклухо-Маклая, д 55",01.02.2022,03.02.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:06:0008004:6430,"г. Москва, р-н Коньково, ул Миклухо-Маклая, д 55",02.02.2022,03.02.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:06:0006001:11676,"г. Москва, ул Волгина Академика, д 2Б, строение 2",01.02.2022,03.02.2022,✅,"здание (строение, сооружение)","Объект (здание (строение, сооружение) фактически используется в целях делового, административного или коммерческого назначения",
77:06:0006001:11364,"г. Москва, р-н Коньково, ул Миклухо-Маклая, д 55, этаж техн.под. - комнаты V(1), V(1a), V(1б), V(2), V(3), V(4), V(5), V(6), V(7), V(8), V(9), V(9a), V(9а)",01.02.2022,03.02.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:00:0000000:20452,"г. Москва, р-н Ломоносовский, ул Вавилова, д 81, корп 1, пом LIII",01.02.2022,03.02.2022,❌,нежилое помещение,"Объект (нежилое помещение) фактически не используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:16:0010105:2434,"г. Москва, пр-кт Защитников Москвы, д 14",11.01.2022,03.02.2022,❌,нежилое помещение,"Объект (нежилое помещение) фактически не используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:16:0010105:15390,"г. Москва, ул Покровская, д 16",13.01.2022,03.02.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:04:0004026:17942,"Юго-Восточный административный округ, район Марьино, Братиславская ул., Дом 18, Корпус 1",24.01.2022,03.02.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:04:0004026:18359,"г. Москва, ул Братиславская, д 16, корп 1, (подвал, помещение IV - комнаты 12, 13; помещение 4 - комнаты 10, 11, 16; этаж 1, помещение XV - комнаты с 16 по 32; помещение XVа - комната 1; помещение 15 - комнаты с 1 по 15)",24.01.2022,03.02.2022,✅,нежилое помещение,"Объект (нежилое помещение) фактически используется для размещения офисов, торговых объектов, объектов общественного питания и (или) бытового обслуживания",
50:61:0010121:164,"г. Москва, г.Щербинка, ш. Симферопольское, д.10 а",01.02.2022,03.02.2022,✅,"здание (строение, сооружение)","Объект (здание (строение, сооружение) фактически используется одновременно как для целей делового, административного или коммерческого назначения, так и для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:03:0003013:1012,"г. Москва, р-н Соколиная Гора, ул Семёновская М., д 28, строен 14",27.01.2022,03.02.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:03:0005024:1134,"г. Москва, р-н Ивановское, ул Челябинская, д 7а",02.02.2022,03.02.2022,✅,"здание (строение, сооружение)","Объект (здание (строение, сооружение) фактически используется одновременно как для целей делового, административного или коммерческого назначения, так и для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:03:0005015:1087,"г. Москва, р-н Восточное Измайлово, пр-кт Измайловский, д 121",27.01.2022,03.02.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:03:0003017:1147,"г. Москва, ул Вельяминовская, д 9, корп 4",02.02.2022,03.02.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:03:0003013:1162,"г. Москва, улица Семёновская М., д 28, строен 18",27.01.2022,03.02.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:03:0003013:3616,"г. Москва, ул Измайловская, д 5А",27.01.2022,03.02.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:03:0003017:1119,"г. Москва, ул Вельяминовская, д 9, корп 1",02.02.2022,03.02.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:03:0003017:1146,"г. Москва, ул Вельяминовская, д 9, корп 3",02.02.2022,03.02.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:03:0003013:4077,"г. Москва, ул Семеновская М., д 28, строен 5",27.01.2022,03.02.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:03:0003013:4122,"г. Москва, ул Малая Семёновская, д 30, строение 15",27.01.2022,03.02.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:01:0003043:1048,"г. Москва, р-н Мещанский, ул Щепкина, д 3",28.01.2022,03.02.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:03:0003013:1087,"г. Москва, р-н Соколиная Гора, ул Семёновская М., д 28, строен 3",27.01.2022,03.02.2022,✅,"здание (строение, сооружение)","Объект (здание (строение, сооружение) фактически используется одновременно как для целей делового, административного или коммерческого назначения, так и для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:03:0003013:1088,"г. Москва, р-н Соколиная Гора, ул Семёновская М., д 28, строен 4",27.01.2022,03.02.2022,✅,"здание (строение, сооружение)","Объект (здание (строение, сооружение) фактически используется одновременно как для целей делового, административного или коммерческого назначения, так и для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
77:03:0003013:1086,"г. Москва, р-н Соколиная Гора, ул Семёновская М., д 28, строен 2",27.01.2022,03.02.2022,❌,"здание, строение, сооружение","Объект (здание, строение, сооружение) фактически не используется в целях делового, административного или коммерческого назначения, фактически не используется для размещения торговых объектов, объектов общественного питания и (или) бытового обслуживания",
